bench,ORDER,n,t
create,2,6959,0.000193443125
create,2,6975,0.000193783625
create,2,6991,0.000191185375
create,2,7007,0.00020152925
create,2,7023,0.0001947835
create,2,7039,0.000193613375
create,2,7055,0.00018991049999999998
create,2,7071,0.00019501987500000002
create,2,7087,0.00019116899999999999
create,2,7103,0.00019709100000000004
create,2,7119,0.00019342675000000003
create,2,7135,0.00019571199999999999
create,2,7151,0.00019939262500000006
create,2,7167,0.000197074625
create,2,7183,0.000195014
create,2,7199,0.00019318974999999998
create,2,7215,0.00019540425
create,2,7231,0.000196689625
create,2,7247,0.00018418162500000003
create,2,7263,0.00019553062500000002
create,2,7279,0.00019402525
create,2,7295,0.00019227825
create,2,7311,0.0002007055
create,2,7327,0.000197882
create,2,7343,0.00019488237499999997
create,2,7359,0.00020009587500000001
create,2,7375,0.00019250937500000002
create,2,7391,0.00019683237500000002
create,2,7407,0.0001945085
create,2,7423,0.00019577225
create,2,7439,0.00019624437499999998
create,2,7455,0.00019607999999999998
create,2,7471,0.00019785975
create,2,7487,0.000193872
create,2,7503,0.0001949485
create,2,7519,0.00019579449999999996
create,2,7535,0.00019751862499999998
create,2,7551,0.000191355625
create,2,7567,0.00019922762499999998
create,2,7583,0.00019111400000000001
create,2,7599,0.00020305687500000002
create,2,7615,0.0001938825
create,2,7631,0.00019440437500000004
create,2,7647,0.00019621750000000003
create,2,7663,0.000200524125
create,2,7679,0.00019825000000000002
create,2,7695,0.00019383337500000002
create,2,7711,0.000192069375
create,2,7727,0.000199002375
create,2,7743,0.000199420125
create,2,7759,0.00019577224999999999
create,2,7775,0.00020201837500000004
create,2,7791,0.00019931012499999998
create,2,7807,0.00019469574999999995
create,2,7823,0.0002035565
create,2,7839,0.00020284799999999997
create,2,7855,0.00019834887500000002
create,2,7871,0.00019585999999999998
create,2,7887,0.000199403125
create,2,7903,0.00019756312500000003
create,2,7919,0.00019354725
create,2,7935,0.00019545925000000002
create,2,7951,0.00019671712500000002
create,2,7967,0.00018977300000000001
create,2,7983,0.000195272625
create,2,7999,0.0002005405
create,2,8015,0.00019648600000000003
create,2,8031,0.00020146837499999997
create,2,8047,0.000197678375
create,2,8063,0.000196947625
create,2,8079,0.00019927675000000006
create,2,8095,0.000200194125
create,2,8111,0.00019989224999999997
create,2,8127,0.00019878825
create,2,8143,0.00019743150000000004
create,2,8159,0.00019795862500000003
create,2,8175,0.00019583837499999998
create,2,8191,0.00020374312500000006
create,2,8192,0.00020249637500000005
