bench,ORDER,n,t
create,2,679,0.000150979375
create,2,680,0.00014817812500000002
create,2,681,0.00014877137499999998
create,2,682,0.000147228
create,2,683,0.00014985900000000002
create,2,684,0.000149699875
create,2,685,0.000150145125
create,2,686,0.000147486
create,2,687,0.00014835950000000002
create,2,688,0.00014958987500000002
create,2,689,0.00015047449999999998
create,2,690,0.000146173125
create,2,691,0.00014761762500000003
create,2,692,0.00015033175000000003
create,2,693,0.00014994150000000004
create,2,694,0.00014841975
create,2,695,0.00015156737499999999
create,2,696,0.00014814475
create,2,697,0.00015161125
create,2,698,0.00014981512500000002
create,2,699,0.00014839225000000002
create,2,700,0.00014970575000000002
create,2,701,0.00014994150000000001
create,2,702,0.00015315524999999998
create,2,703,0.00015170950000000002
create,2,704,0.00015135850000000005
create,2,705,0.00015034225000000004
create,2,706,0.00015130937500000002
create,2,707,0.000151348
create,2,708,0.000150117
create,2,709,0.000148513375
create,2,710,0.000143810625
create,2,711,0.00014898025
create,2,712,0.00014862274999999999
create,2,713,0.00014958462499999997
create,2,714,0.000153462375
create,2,715,0.00014754625000000003
create,2,716,0.00014887549999999998
create,2,717,0.00015206762500000006
create,2,718,0.00014976537500000002
create,2,719,0.00014943600000000002
create,2,720,0.000151446875
create,2,721,0.000146969375
create,2,722,0.00015048562499999998
create,2,723,0.00015166625000000004
create,2,724,0.00014962787500000002
create,2,725,0.00014839224999999996
create,2,726,0.000151962875
create,2,727,0.00015537437499999997
create,2,728,0.000149705125
create,2,729,0.00015191900000000003
create,2,730,0.00014587062500000003
create,2,731,0.000150270875
create,2,732,0.00015234200000000003
create,2,733,0.000150260375
create,2,734,0.000149056875
create,2,735,0.000146118125
create,2,736,0.00015331437499999995
create,2,737,0.00015412175
create,2,738,0.00015330262500000004
create,2,739,0.00015352262500000004
create,2,740,0.00014857887499999999
create,2,741,0.000146996875
create,2,742,0.000154973625
create,2,743,0.00015032
create,2,744,0.00014815587500000002
create,2,745,0.0001527925
create,2,746,0.00015180899999999998
create,2,747,0.00015011174999999998
create,2,748,0.000147051875
create,2,749,0.0001543365
create,2,750,0.00014593675000000003
create,2,751,0.00014679387500000002
create,2,752,0.00014665637500000002
create,2,753,0.000152468375
create,2,754,0.00015060612499999998
create,2,755,0.00015097937499999997
create,2,756,0.00015145212500000001
create,2,757,0.00015135325
create,2,758,0.000151771
create,2,759,0.00015168324999999998
create,2,760,0.00015111162500000002
create,2,761,0.000150441125
create,2,762,0.00015378124999999997
create,2,763,0.00015097412500000002
create,2,764,0.000150408375
create,2,765,0.00014889774999999998
create,2,766,0.00015176512499999996
create,2,767,0.000149424875
create,2,768,0.000151496
create,2,769,0.00015208925
create,2,770,0.00014646974999999997
create,2,771,0.00015552825000000002
create,2,772,0.00015263862500000002
create,2,773,0.000151545125
create,2,774,0.00015419312500000002
create,2,775,0.00015347874999999998
create,2,776,0.000149337125
create,2,777,0.00014789787499999997
create,2,778,0.000151386
create,2,779,0.00014839750000000002
create,2,780,0.00014994150000000001
create,2,781,0.00015292475
create,2,782,0.000150079
create,2,783,0.000147799
create,2,784,0.000150540625
create,2,785,0.00015391874999999997
create,2,786,0.000148766125
create,2,787,0.000150392
create,2,788,0.00014828812500000002
create,2,789,0.00014986487500000001
create,2,790,0.00015410012500000002
create,2,791,0.00015195237500000003
create,2,792,0.000150968875
create,2,793,0.00014903525
create,2,794,0.000150150375
create,2,795,0.000148007875
create,2,796,0.00014957937500000002
create,2,797,0.000149364625
create,2,798,0.000150881125
create,2,799,0.00015134275
create,2,800,0.000149694625
create,2,801,0.00015208399999999998
create,2,802,0.00015202900000000003
create,2,803,0.00015205650000000003
create,2,804,0.0001458215
create,2,805,0.00014894225
create,2,806,0.00014840924999999999
create,2,807,0.00014904575
create,2,808,0.00015021062499999998
create,2,809,0.00015367125000000003
create,2,810,0.00015271587500000002
create,2,811,0.00015238062500000002
create,2,812,0.00014950212500000002
create,2,813,0.00015264450000000002
create,2,814,0.000150160875
create,2,815,0.000149606875
create,2,816,0.00014972150000000002
create,2,817,0.000150748875
create,2,818,0.000154555875
create,2,819,0.00015061724999999997
create,2,820,0.000157599375
create,2,821,0.00014905687499999998
create,2,822,0.000148540875
create,2,823,0.000149474625
create,2,824,0.000149111875
create,2,825,0.000149694
create,2,826,0.00014844200000000004
create,2,827,0.000152155375
create,2,828,0.00015209512499999997
create,2,829,0.000153138875
create,2,830,0.00015256200000000002
create,2,831,0.00014917800000000003
create,2,832,0.00014888075
create,2,833,0.00015303412500000001
create,2,834,0.00015181424999999998
create,2,835,0.00015354549999999998
create,2,836,0.000150282
create,2,837,0.00014994675000000004
create,2,838,0.0001518365
create,2,839,0.0001521115
create,2,840,0.00015199099999999998
create,2,841,0.000148881375
create,2,842,0.000150287875
create,2,843,0.000153759625
create,2,844,0.00015258950000000002
create,2,845,0.00014885387499999998
create,2,846,0.00015229287499999997
create,2,847,0.000149551875
create,2,848,0.00015473199999999998
create,2,849,0.00014994150000000001
create,2,850,0.0001545395
create,2,851,0.00015064474999999997
create,2,852,0.000150041
create,2,853,0.00015226999999999998
